station_name,agency,street,borough,postcode,latitude,longitude,no_of_ports,charger_types,public_charger_,fee_for_city_drivers,geometry
"DEP - 725 W 135Th St, Manhattan",DEP,725 W 135Th St,Manhattan,10031,40.821384,-73.9581,12,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.9581 40.821384)
"DEP - 148 6 Dr, Manhattan",DEP,148 6 Dr,Manhattan,10035,40.788869,-73.920097,1,['Level 2 Charger'],No,No,POINT (-73.920097 40.788869)
"DEP - 104 B Rd, Manhattan",DEP,104 B Rd,Manhattan,10035,40.787146,-73.925083,4,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.925083 40.787146)
"DEP - 142 A Rd, Manhattan",DEP,142 A Rd,Manhattan,10035,40.785113,-73.923366,5,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.923366 40.785113)
"DEP - 149 8 Dr, Manhattan",DEP,149 8 Dr,Manhattan,10035,40.788166,-73.919762,2,['Level 3 Fast Charger'],No,No,POINT (-73.919762 40.788166)
"DEP - 106 2Nd Dr, Manhattan",DEP,106 2Nd Dr,Manhattan,10035,40.788715,-73.924539,1,['Level 2 Charger'],No,No,POINT (-73.924539 40.788715)
"DEP - 111 3Rd Dr, Manhattan",DEP,111 3Rd Dr,Manhattan,10035,40.787573,-73.924403,1,['EV Solar Arc Charger'],No,No,POINT (-73.924403 40.787573)
"DEP - 116 4Th Dr, Manhattan",DEP,116 4Th Dr,Manhattan,10035,40.791082,-73.921051,2,['Level 2 Charger'],No,No,POINT (-73.921051 40.791082)
"DEP - 3327-3549 Jerome Ave, Bronx",DEP,3327-3549 Jerome Ave,Bronx,10468,40.879456,-73.885016,2,['Level 2 Charger'],No,No,POINT (-73.885016 40.879456)
"DEP - 1260 Ryawa Ave, Bronx",DEP,1260 Ryawa Ave,Bronx,10474,40.804742,-73.885322,2,['Level 2 Charger'],No,No,POINT (-73.885322 40.804742)
"DEP - 1887 Ralph Ave, Brooklyn",DEP,1887 Ralph Ave,Brooklyn,11234,40.631239,-73.918502,2,['Level 2 Charger'],No,No,POINT (-73.918502 40.631239)
"DEP - 289-369 Greenpoint Ave, Brooklyn",DEP,289-369 Greenpoint Ave,Brooklyn,11222,40.730973,-73.947675,1,['Level 2 Charger'],No,No,POINT (-73.947675 40.730973)
"DEP - 2509 Knapp St, Brooklyn",DEP,2509 Knapp St,Brooklyn,11235,40.592085,-73.932521,1,['Level 3 Fast Charger'],No,No,POINT (-73.932521 40.592085)
"DEP - 58-30 Grand Ave, Queens",DEP,58-30 Grand Ave,Queens,11378,40.719651,-73.91119,2,['Level 2 Charger'],No,No,POINT (-73.91119 40.719651)
"DEP - 319 Greenpoint Ave, Brooklyn",DEP,319 Greenpoint Ave,Brooklyn,11222,40.731272,-73.946848,11,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.946848 40.731272)
"DEP - 750 W 145Th St, Manhattan",DEP,750 W 145Th St,Manhattan,10031,40.827108,-73.95466,1,['Level 2 Charger'],No,No,POINT (-73.95466 40.827108)
"DEP - 735 W 135th St, Manhattan",DEP,735 W 135th St,Manhattan,10031,40.821408,-73.958161,5,['Level 3 Fast Charger'],No,No,POINT (-73.958161 40.821408)
"DEP - 327 Greenpoint Ave, Brooklyn",DEP,327 Greenpoint Ave,Brooklyn,11222,40.731351,-73.946628,1,['Level 3 Fast Charger'],No,No,POINT (-73.946628 40.731351)
"DEP - 683 Mill Rd, Staten Island",DEP,683 Mill Rd,Staten Island,10306,40.553917,-74.117306,2,['Level 3 Fast Charger'],No,No,POINT (-74.117306 40.553917)
"DHS - 300 Skillman Ave, Brooklyn",DHS,300 Skillman Ave,Brooklyn,11211,40.71663,-73.939205,5,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.939205 40.71663)
"DHS - 64 Sunken Garden Loop, Manhattan",DHS,64 Sunken Garden Loop,Manhattan,10035,40.785494,-73.931397,1,['Level 2 Charger'],No,No,POINT (-73.931397 40.785494)
"DHS - 10107 Farragut Rd, Brooklyn",DHS,10107 Farragut Rd,Brooklyn,11236,40.648081,-73.901772,7,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.901772 40.648081)
"DOB - 280 Broadway, Manhattan",DOB,280 Broadway,Manhattan,10007,40.714417,-74.006089,1,['Level 3 Fast Charger'],No,No,POINT (-74.006089 40.714417)
"DOB - 120-55 Queens Blvd, Queens",DOB,120-55 Queens Blvd,Queens,11424,40.713329,-73.828601,1,['EV Solar Arc Charger'],No,No,POINT (-73.828601 40.713329)
"DOC - 16-16 Hazen St, Queens",DOC,16-16 Hazen St,Queens,11370,40.790301,-73.884412,11,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.884412 40.790301)
"DOC - 12-00 Hazen Street, Queens",DOC,12-00 Hazen Street,Queens,11370,40.793765,-73.884156,2,['Level 2 Charger'],No,No,POINT (-73.884156 40.793765)
"DOC - 15-0 Hazen St, Queens",DOC,15-0 Hazen St,Queens,11370,40.790985,-73.884396,3,"['EV Solar Arc Charger', 'Level 2 Charger']",No,No,POINT (-73.884396 40.790985)
"DOC - Rikers Island, Queens",DOC,Rikers Island,Queens,11370,40.790576,-73.881894,2,['Level 2 Charger'],No,No,POINT (-73.881894 40.790576)
"DOC - 16-06 Hazen St, Bronx",DOC,16-06 Hazen St,Bronx,11370,40.790307,-73.884412,2,['Level 2 Charger'],No,No,POINT (-73.884412 40.790307)
"DOC - 1717 Hazen St., Queens",DOC,1717 Hazen St.,Queens,11370,40.788899,-73.884411,8,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.884411 40.788899)
"DOC - 15-15 Hazen Street, Queens",DOC,15-15 Hazen Street,Queens,11370,40.790976,-73.884374,3,['Level 2 Charger'],No,No,POINT (-73.884374 40.790976)
"DOC - 09-09 Hazen Street, Queens",DOC,09-09 Hazen Street,Queens,11370,40.794577,-73.884162,2,['Level 2 Charger'],No,No,POINT (-73.884162 40.794577)
"DOC - 16-00 Hazen Street, Bronx",DOC,16-00 Hazen Street,Bronx,11370,40.790312,-73.884412,2,['Level 2 Charger'],No,No,POINT (-73.884412 40.790312)
"DOC - 125-01 82Nd Ave, Queens",DOC,125-01 82Nd Ave,Queens,11415,40.710935,-73.831627,2,['Level 2 Charger'],No,No,POINT (-73.831627 40.710935)
"DOC - 19-19 Hazen St, Queens",DOC,19-19 Hazen St,Queens,11370,40.788432,-73.884444,2,['Level 2 Charger'],No,No,POINT (-73.884444 40.788432)
"DOC - 1 Halleck Street, Bronx",DOC,1 Halleck Street,Bronx,10474,40.802228,-73.877557,1,['EV Solar Arc Charger'],No,No,POINT (-73.877557 40.802228)
"DOE - 165-65 84Th Ave, Queens",DOE,165-65 84Th Ave,Queens,11432,40.715389,-73.800369,2,['Level 2 Charger'],No,No,POINT (-73.800369 40.715389)
"DOE - 6581 Hylan Blvd, Staten Island",DOE,6581 Hylan Blvd,Staten Island,10309,40.509084,-74.22093,5,['Level 2 Charger'],No,No,POINT (-74.22093 40.509084)
"DOE - 131 Livingston St, Brooklyn",DOE,131 Livingston St,Brooklyn,11201,40.690743,-73.988605,3,['Level 2 Charger'],No,No,POINT (-73.988605 40.690743)
"DOE - 9517 Kings Hwy, Brooklyn",DOE,9517 Kings Hwy,Brooklyn,11212,40.65911,-73.920368,1,['Level 2 Charger'],No,No,POINT (-73.920368 40.65911)
"DOE - 715 Ocean Terrace, Staten Island",DOE,715 Ocean Terrace,Staten Island,10301,40.608756,-74.102344,2,['Level 2 Charger'],No,No,POINT (-74.102344 40.608756)
"DOE - 1700 Fulton St, Brooklyn",DOE,1700 Fulton St,Brooklyn,11213,40.67944,-73.932407,1,['Level 2 Charger'],No,No,POINT (-73.932407 40.67944)
"DOE - 3047 Bruckner Blvd, Bronx",DOE,3047 Bruckner Blvd,Bronx,10461,40.83587,-73.825774,2,['Level 2 Charger'],No,No,POINT (-73.825774 40.83587)
"DOE - 71 W 205th St, Bronx",DOE,71 W 205th St,Bronx,10468,40.877537,-73.890921,1,['Level 2 Charger'],No,No,POINT (-73.890921 40.877537)
"DOE - 231 Malta St, Brooklyn",DOE,231 Malta St,Brooklyn,11207,40.655179,-73.892416,2,['Level 2 Charger'],No,No,POINT (-73.892416 40.655179)
"DOE - 6565 Flatlands Ave, Brooklyn",DOE,6565 Flatlands Ave,Brooklyn,11236,40.633285,-73.916735,4,['Level 2 Charger'],No,No,POINT (-73.916735 40.633285)
"DOE - 128 Waterbury St, Brooklyn",DOE,128 Waterbury St,Brooklyn,11206,40.711722,-73.937926,2,['Level 2 Charger'],No,No,POINT (-73.937926 40.711722)
"DOE - 3000 E Tremont Ave, Bronx",DOE,3000 E Tremont Ave,Bronx,10462,40.840733,-73.838685,1,['Level 2 Charger'],No,No,POINT (-73.838685 40.840733)
"DOE - 101-01 Rockaway Blvd, Queens",DOE,101-01 Rockaway Blvd,Queens,11417,40.679639,-73.837298,4,['Level 2 Charger'],No,No,POINT (-73.837298 40.679639)
"DOE - 99 Terrace View Avenue, Manhattan",DOE,99 Terrace View Avenue,Manhattan,10463,40.877105,-73.912256,4,['Level 2 Charger'],No,No,POINT (-73.912256 40.877105)
"DOE - 1-49 Teunissen Pl, Bronx",DOE,1-49 Teunissen Pl,Bronx,10463,40.876606,-73.912839,1,['EV Solar Arc Charger'],No,No,POINT (-73.912839 40.876606)
"DOE - 50 Bedford Ave, Brooklyn",DOE,50 Bedford Ave,Brooklyn,11222,40.721981,-73.953281,1,['Level 2 Charger'],No,No,POINT (-73.953281 40.721981)
"DOE - 409 Red Hook Lane, Brooklyn",DOE,409 Red Hook Lane,Brooklyn,11201,40.691561,-73.988436,1,['Level 3 Fast Charger'],No,No,POINT (-73.988436 40.691561)
"DOE - 1599 E 22nd St, Brooklyn",DOE,1599 E 22nd St,Brooklyn,11210,40.612623,-73.951906,1,['Level 2 Charger'],No,No,POINT (-73.951906 40.612623)
"DOE - 344-360 2nd Ave, Manhattan",DOE,344-360 2nd Ave,Manhattan,10010,40.736103,-73.982196,2,['Level 2 Charger'],No,No,POINT (-73.982196 40.736103)
"DOE - 549 Audubon Ave, Manhattan",DOE,549 Audubon Ave,Manhattan,10040,40.855855,-73.92712,1,['Level 2 Charger'],No,No,POINT (-73.92712 40.855855)
"DOE - 321 E 96Th St, Manhattan",DOE,321 E 96Th St,Manhattan,10128,40.783638,-73.945626,1,['Level 2 Charger'],No,No,POINT (-73.945626 40.783638)
"DOE - 1220 Manor Rd, Staten Island",DOE,1220 Manor Rd,Staten Island,10314,40.596745,-74.124263,2,['Level 2 Charger'],No,No,POINT (-74.124263 40.596745)
"DOE - 173 West 151st Street, Manhattan",DOE,173 West 151st Street,Manhattan,10039,40.825191,-73.935731,2,['Level 2 Charger'],No,No,POINT (-73.935731 40.825191)
"DOE - 2401 Neptune Ave, Brooklyn",DOE,2401 Neptune Ave,Brooklyn,11224,40.578188,-73.99203,3,['Level 2 Charger'],No,No,POINT (-73.99203 40.578188)
"DOE - 677 East 141st Street, Bronx",DOE,677 East 141st Street,Bronx,10454,40.807335,-73.912731,2,['Level 2 Charger'],No,No,POINT (-73.912731 40.807335)
"DOE - 142-10 Linden Blvd, Queens",DOE,142-10 Linden Blvd,Queens,11436,40.684142,-73.801479,2,['Level 2 Charger'],No,No,POINT (-73.801479 40.684142)
"DOE - 58-20 Utopia Pkwy, Queens",DOE,58-20 Utopia Pkwy,Queens,11365,40.740724,-73.79283,2,['Level 2 Charger'],No,No,POINT (-73.79283 40.740724)
"DOE - 74-20 Commonwealth Blvd, Queens",DOE,74-20 Commonwealth Blvd,Queens,11426,40.746088,-73.727535,2,['Level 2 Charger'],No,No,POINT (-73.727535 40.746088)
"DOE - 44-36 Vernon Blvd, Queens",DOE,44-36 Vernon Blvd,Queens,11101,40.749384,-73.952233,16,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.952233 40.749384)
"DOE - 49-16 Vernon Blvd, Queens",DOE,49-16 Vernon Blvd,Queens,11101,40.743237,-73.953941,6,['Level 2 Charger'],No,No,POINT (-73.953941 40.743237)
"DOE - 30-48 Linden Pl, Queens",DOE,30-48 Linden Pl,Queens,11354,40.770185,-73.832925,2,['Level 2 Charger'],No,No,POINT (-73.832925 40.770185)
"DOE - 333 Midland Ave, Staten Island",DOE,333 Midland Ave,Staten Island,10306,40.576725,-74.100726,1,['Level 2 Charger'],No,No,POINT (-74.100726 40.576725)
"DOE - 173 Conover St, Brooklyn",DOE,173 Conover St,Brooklyn,11231,40.677969,-74.014363,1,['Level 2 Charger'],No,No,POINT (-74.014363 40.677969)
"DOE - 143-10 Springfield Blvd, Queens",DOE,143-10 Springfield Blvd,Queens,11413,40.668235,-73.756839,2,['Level 2 Charger'],No,No,POINT (-73.756839 40.668235)
"DOE - 85 St Josephs Ave, Staten Island",DOE,85 St Josephs Ave,Staten Island,10302,40.634573,-74.141818,1,['Level 2 Charger'],No,No,POINT (-74.141818 40.634573)
"DOE - 1434 Longfellow Avenue, Bronx",DOE,1434 Longfellow Avenue,Bronx,10459,40.830589,-73.887587,2,['Level 2 Charger'],No,No,POINT (-73.887587 40.830589)
"DOE - 75 W 205th St, Bronx",DOE,75 W 205th St,Bronx,10468,40.87759,-73.89104,2,['Level 2 Charger'],No,No,POINT (-73.89104 40.87759)
