,agency,station_name,charger_types,no_of_ports,street,city,postcode,borough,public_charger_,fee_for_city_drivers,latitude,longitude,community_district,council_district,census_tract,bin,bbl,nta,station_id,geometry
15,DEP,"DEP - 1540 Van Siclen Ave, Brooklyn",['Level 3 Fast Charger'],1,1540 Van Siclen Ave,Starrett City,11239,Brooklyn,No,No,40.648214,-73.877613,305.0,42.0,105801.0,3343608.0,3044520200.0,BK0504,urn:agentwin:city:ev-charging-station:e5aaf1e66aa33b350ee1cea64e5fda1c8f877d80785c163758ba35c0be70560d,POINT (-73.877613 40.648214)
16,DEP,"DEP - 3701 Jerome Ave, Bronx","['EV Solar Arc Charger', 'Level 2 Charger', 'Level 3 Fast Charger']",7,3701 Jerome Ave,Bronx,10467,Bronx,No,No,40.887018,-73.878095,226.0,11.0,43503.0,2112995.0,2059000001.0,BX2691,urn:agentwin:city:ev-charging-station:d8b7d0b767a4b32b9325a088e9b55ddf5ff5dddcdb4b70384d913c54fe2fcc9c,POINT (-73.878095 40.887018)
17,DEP,"DEP - 623 Myrtle Ave, Brooklyn",['Level 2 Charger'],4,623 Myrtle Ave,Bedford-Stuyvesant,11205,Brooklyn,No,No,40.694275,-73.958854,303.0,33.0,1237.0,3341943.0,3018980001.0,BK0301,urn:agentwin:city:ev-charging-station:81dfa21f1544576b88dd4c3c7009911ffaa0cff760b34ef643039bcb042a08b3,POINT (-73.958854 40.694275)
18,DEP,"DEP - 7 Ward's Island Bridge, Manhattan",['Level 2 Charger'],2,7 Ward's Island Bridge,New York,10035,Manhattan,No,No,40.792839,-73.922819,111.0,8.0,240.0,1000000.0,1018190015.0,MN1191,urn:agentwin:city:ev-charging-station:7cd2ca9900ffda191022d81844b4048a487dd3f803b610fd472b1a5afe15dc55,POINT (-73.922819 40.792839)
19,DEP,"DEP - 116 K Rd, Manhattan",['EV Solar Arc Charger'],4,116 K Rd,New York,10035,Manhattan,No,No,40.791469,-73.921474,111.0,8.0,240.0,1089375.0,1018190030.0,MN1191,urn:agentwin:city:ev-charging-station:2657dc53234b9cabe9954a4158da3dc428b4973cbf425a0574dfb39bae582f39,POINT (-73.921474 40.791469)
20,DEP,"DEP - 117 K Rd, Manhattan",['EV Solar Arc Charger'],1,117 K Rd,New York,10035,Manhattan,No,No,40.791483,-73.921463,111.0,8.0,240.0,1088056.0,1018190015.0,MN1191,urn:agentwin:city:ev-charging-station:c7bb90471578b07543b9539b6bcc968f899880627e1beee55eb5e60990043038,POINT (-73.921463 40.791483)
21,DEP,"DEP - 930 Zerega Ave, Bronx","['Level 2 Charger', 'Level 3 Fast Charger']",20,930 Zerega Ave,East Bronx,10473,Bronx,No,No,40.827109,-73.843596,209.0,18.0,90.0,2023318.0,2037060001.0,BX0903,urn:agentwin:city:ev-charging-station:00d6a7afd786f64e0b6870e8076f87fd732870a13c0259af74eda93c702518de,POINT (-73.843596 40.827109)
22,DEP,"DEP - 43-1 Berrian Blvd, Queens","['Level 2 Charger', 'Level 3 Fast Charger']",7,43-1 Berrian Blvd,Queens,11105,Queens,No,No,40.778421,-73.894593,401.0,22.0,10701.0,4442400.0,4007760150.0,QN0101,urn:agentwin:city:ev-charging-station:385ac49db5337aa0d3fd4ca45306857b63a15011aa085c2d8c9eddf4ef753c23,POINT (-73.894593 40.778421)
23,DEP,"DEP - 855 Remsen Ave, Brooklyn",['Level 3 Fast Charger'],4,855 Remsen Ave,Brooklyn,11236,Brooklyn,No,No,40.646913,-73.913395,318.0,42.0,960.0,3397904.0,3081160001.0,BK1803,urn:agentwin:city:ev-charging-station:dd096b815cc0c575ab2b08815a8d1a41b9918e3591b209156ba49aaba76f7b35,POINT (-73.913395 40.646913)
24,DEP,"DEP - 22 N 15th St, Brooklyn",['EV Solar Arc Charger'],1,22 N 15th St,Brooklyn,11222,Brooklyn,No,No,40.724694,-73.956901,301.0,33.0,561.0,3065473.0,3026130001.0,BK0101,urn:agentwin:city:ev-charging-station:089bbcedff6d1f9d9e378790abdeb6609a685a16bb5ad8ea4ce148c0b08f4f8b,POINT (-73.956901 40.724694)
25,DEP,"DEP - 3201 Jerome Ave, Bronx","['EV Solar Arc Charger', 'Level 3 Fast Charger']",4,3201 Jerome Ave,The Bronx,10468,Bronx,No,No,40.877534,-73.887189,207.0,11.0,409.0,2015443.0,2032510401.0,BX0702,urn:agentwin:city:ev-charging-station:31bade07fc9cae7e415d1144bad008fc3bcce143a347558e6e98cc9d19093ab1,POINT (-73.887189 40.877534)
26,DEP,"DEP - 1270 Victory Blvd, Staten Island",['Level 2 Charger'],2,1270 Victory Blvd,Staten Island,10301,Staten Island,No,No,40.615436,-74.105751,501.0,49.0,16901.0,5112448.0,5006690001.0,SI0105,urn:agentwin:city:ev-charging-station:417138a80453f1025e1f808a722fb8567f8fab90bed13b14ca7a370fc94d6ecb,POINT (-74.105751 40.615436)
27,DEP,"DEP - 201 Douglass St, Brooklyn",['Level 2 Charger'],2,201 Douglass St,Brooklyn,11217,Brooklyn,No,No,40.681639,-73.987684,306.0,39.0,71.0,3336088.0,3004110014.0,BK0601,urn:agentwin:city:ev-charging-station:4b79370ba57cd637822b888ce553c03e1a886239469fb9a27ab6a81a4cfe9965,POINT (-73.987684 40.681639)
28,DEP,"DEP - 305 Seigel St, Brooklyn",['Level 2 Charger'],2,305 Seigel St,East Williamsburg,11206,Brooklyn,No,No,40.705517,-73.934242,301.0,34.0,485.0,,,BK0104,urn:agentwin:city:ev-charging-station:8e5a06cb13011d27ad0fbfbbfb7b248e89775fcd75b24685978c1316b97307a4,POINT (-73.934242 40.705517)
29,DEP,"DEP - 164-11 110th Avenue, Queens",['Level 3 Fast Charger'],2,164-11 110th Avenue,Queens,11433,Queens,No,No,40.693916,-73.787682,412.0,27.0,258.0,4216720.0,4101820032.0,QN1202,urn:agentwin:city:ev-charging-station:992046a170f2a96ebf6c628c84929b33250561b2f5496f0d4c79afe04b5958d4,POINT (-73.787682 40.693916)
30,DEP,"DEP - 164-21 110th Avenue, Queens",['Level 3 Fast Charger'],1,164-21 110th Avenue,Queens,11433,Queens,No,No,40.694094,-73.787263,412.0,27.0,258.0,4216773.0,4101850125.0,QN1202,urn:agentwin:city:ev-charging-station:ec51861af08c1b28c38969562620aa5984427409a35e650b298d272d3496a1ed,POINT (-73.787263 40.694094)
31,DEP,"DEP - 1270 Ryawa Ave, Bronx",['Level 3 Fast Charger'],6,1270 Ryawa Ave,Bronx,10474,Bronx,No,No,40.804827,-73.884759,202.0,17.0,9302.0,2118156.0,2027800002.0,BX0201,urn:agentwin:city:ev-charging-station:d207e55cd7d5566772d2459ed38ff4ffa8ee34dbb7b705b7f2f6885b76ef556f,POINT (-73.884759 40.804827)
32,DEP,"DEP - 150-20 134Th St, Queens","['Level 2 Charger', 'Level 3 Fast Charger']",5,150-20 134Th St,Jamaica,11420,Queens,No,No,40.662964,-73.806765,410.0,31.0,716.0,4459547.0,4119000002.0,QN8381,urn:agentwin:city:ev-charging-station:eec43b1da9c94c665b0712001b3074192c604624153d804fc9e3f9b37dc72b3f,POINT (-73.806765 40.662964)
33,DEP,"DEP - 3055 Goulden Avenue, Bronx",['Level 3 Fast Charger'],1,3055 Goulden Avenue,Bronx,10468,Bronx,No,No,40.877917,-73.892251,208.0,11.0,409.0,2015221.0,2032460001.0,BX0702,urn:agentwin:city:ev-charging-station:3172f2a7184654334df4e01b509efcc22f6aca3b04352b72aeb4e7e7dccd3636,POINT (-73.892251 40.877917)
