,agency,station_name,charger_types,no_of_ports,street,city,postcode,borough,public_charger_,fee_for_city_drivers,latitude,longitude,community_district,council_district,census_tract,bin,bbl,nta,station_id,geometry
66,DEP,"DEP - 58-30 Grand Ave, Queens",['Level 2 Charger'],2,58-30 Grand Ave,Maspeth,11378,Queens,No,No,40.719651,-73.91119,405.0,30.0,525.0,4059931.0,4026810001.0,QN0501,urn:agentwin:city:ev-charging-station:554784e91eae9d68f85a4d74b7bfa9f06d8bd55c14924f0f2ad88a0f8b47c185,POINT (-73.91119 40.719651)
67,DEP,"DEP - 319 Greenpoint Ave, Brooklyn","['Level 2 Charger', 'Level 3 Fast Charger']",11,319 Greenpoint Ave,Greenpoint,11222,Brooklyn,No,No,40.731272,-73.946848,301.0,33.0,57902.0,3397231.0,3025250001.0,BK0101,urn:agentwin:city:ev-charging-station:5567bc60047f96dfeb2f0f45012e96725a409fb5a9fb17724e507a89b7ff70be,POINT (-73.946848 40.731272)
68,DEP,"DEP - 750 W 145Th St, Manhattan",['Level 2 Charger'],1,750 W 145Th St,New York,10031,Manhattan,No,No,40.827108,-73.95466,109.0,7.0,225.0,1086244.0,1021010100.0,MN0903,urn:agentwin:city:ev-charging-station:ffa5950ec58e4778d7573569150b45123220db6f8e95449fce6b382f4e7b9ee9,POINT (-73.95466 40.827108)
69,DEP,"DEP - 735 W 135th St, Manhattan",['Level 3 Fast Charger'],5,735 W 135th St,New York,10031,Manhattan,No,No,40.821408,-73.958161,109.0,7.0,22301.0,1084789.0,1021010117.0,MN0902,urn:agentwin:city:ev-charging-station:0e13aa762d0c51723d7581a6835c0b34cba383c48a0c51588fe00c7c5fad0637,POINT (-73.958161 40.821408)
70,DEP,"DEP - 327 Greenpoint Ave, Brooklyn",['Level 3 Fast Charger'],1,327 Greenpoint Ave,Greenpoint,11222,Brooklyn,No,No,40.731351,-73.946628,301.0,33.0,57902.0,3336623.0,3025250001.0,BK0101,urn:agentwin:city:ev-charging-station:5d5d1bfd3ae913d00c02a94b7468653d986f52ceac8c1da81174a41c631a0bf8,POINT (-73.946628 40.731351)
71,DEP,"DEP - 683 Mill Rd, Staten Island",['Level 3 Fast Charger'],2,683 Mill Rd,Staten Island,10306,Staten Island,No,No,40.553917,-74.117306,503.0,50.0,12805.0,5000000.0,5047460007.0,SI0301,urn:agentwin:city:ev-charging-station:109a8d759d1709efdb5e3e5cc5c9af56e2370f4dd8d54fa1c3c7846af816b0f3,POINT (-74.117306 40.553917)
72,DHS,"DHS - 300 Skillman Ave, Brooklyn","['Level 2 Charger', 'Level 3 Fast Charger']",5,300 Skillman Ave,Brooklyn,11211,Brooklyn,No,No,40.71663,-73.939205,301.0,34.0,44901.0,3000000.0,3028850025.0,BK0104,urn:agentwin:city:ev-charging-station:7a0c0e1d28b84ba39a8aa076058d015c1b4f95f447240385b72eb87fca61d6f1,POINT (-73.939205 40.71663)
73,DHS,"DHS - 64 Sunken Garden Loop, Manhattan",['Level 2 Charger'],1,64 Sunken Garden Loop,New York,10035,Manhattan,No,No,40.785494,-73.931397,111.0,8.0,240.0,1085877.0,1018190010.0,MN1191,urn:agentwin:city:ev-charging-station:84825dee5e709c1a7e14fbe31b0d977978e9177a758c7b9c3fc21958fec40506,POINT (-73.931397 40.785494)
74,DHS,"DHS - 10107 Farragut Rd, Brooklyn","['Level 2 Charger', 'Level 3 Fast Charger']",7,10107 Farragut Rd,Brooklyn,11236,Brooklyn,No,No,40.648081,-73.901772,318.0,42.0,1098.0,3229148.0,3081490001.0,BK0503,urn:agentwin:city:ev-charging-station:c0ed3bc9352d02cf83777846b30d33d9847547b02858e3a30544cb871859bda2,POINT (-73.901772 40.648081)
75,DOB,"DOB - 280 Broadway, Manhattan",['Level 3 Fast Charger'],1,280 Broadway,Manhattan,10007,Manhattan,No,No,40.714417,-74.006089,101.0,1.0,31.0,1079215.0,1001530001.0,MN0102,urn:agentwin:city:ev-charging-station:5e0ec615ab5fa3f1a566f0c3e9406404921d2f26c84812f68475317c7d1d1fe6,POINT (-74.006089 40.714417)
76,DOB,"DOB - 120-55 Queens Blvd, Queens",['EV Solar Arc Charger'],1,120-55 Queens Blvd,Queens,11424,Queens,No,No,40.713329,-73.828601,409.0,29.0,21601.0,4052812.0,4022740002.0,QN0901,urn:agentwin:city:ev-charging-station:14df867af32c1c834df99280827beebfd41ab628bdef0b1731666e09722bdc55,POINT (-73.828601 40.713329)
77,DOC,"DOC - 16-16 Hazen St, Queens","['Level 2 Charger', 'Level 3 Fast Charger']",11,16-16 Hazen St,Queens,11370,Queens,No,No,40.790301,-73.884412,401.0,22.0,1.0,,,QN0151,urn:agentwin:city:ev-charging-station:3c43acb7752442f5e5c10f397d6ec829dfef692bf796008383e066bb18d54441,POINT (-73.884412 40.790301)
78,DOC,"DOC - 12-00 Hazen Street, Queens",['Level 2 Charger'],2,12-00 Hazen Street,East Elmhurst,11370,Queens,No,No,40.793765,-73.884156,401.0,22.0,1.0,,,QN0151,urn:agentwin:city:ev-charging-station:d86530d8d6f2a77a4d24127402b25e634bda4f8e10951ed0259cb08ea385a135,POINT (-73.884156 40.793765)
79,DOC,"DOC - 15-0 Hazen St, Queens","['EV Solar Arc Charger', 'Level 2 Charger']",3,15-0 Hazen St,East Elmhurst,11370,Queens,No,No,40.790985,-73.884396,401.0,22.0,1.0,2116652.0,2026050040.0,QN0151,urn:agentwin:city:ev-charging-station:0842bb735b67bf0b4a7d3150dd727ab1f37ce83a20dbe0f28a724947825dde4d,POINT (-73.884396 40.790985)
80,DOC,"DOC - Rikers Island, Queens",['Level 2 Charger'],2,Rikers Island,East Elmhurst,11370,Queens,No,No,40.790576,-73.881894,401.0,22.0,1.0,2000000.0,2026050040.0,QN0151,urn:agentwin:city:ev-charging-station:6cf6eaab1751caf876885dfe436c220f126da9dbd4e3122d91d40be7270dfacf,POINT (-73.881894 40.790576)
81,DOC,"DOC - 16-06 Hazen St, Bronx",['Level 2 Charger'],2,16-06 Hazen St,The Bronx,11370,Bronx,No,No,40.790307,-73.884412,401.0,22.0,1.0,2109475.0,2026050040.0,QN0151,urn:agentwin:city:ev-charging-station:b0b0f65e1a6c89754d531c4736dc09865cc4fe8a2453c475dbdb78b1dac80117,POINT (-73.884412 40.790307)
82,DOC,"DOC - 1717 Hazen St., Queens","['Level 2 Charger', 'Level 3 Fast Charger']",8,1717 Hazen St.,Riker's Island,11370,Queens,No,No,40.788899,-73.884411,401.0,22.0,1.0,,,QN0151,urn:agentwin:city:ev-charging-station:711952c5196b584122ddc9e3e2705f173afe7ca1fd6227831266bf5480e510a3,POINT (-73.884411 40.788899)
83,DOC,"DOC - 15-15 Hazen Street, Queens",['Level 2 Charger'],3,15-15 Hazen Street,The Bronx,11370,Queens,No,No,40.790976,-73.884374,401.0,22.0,1.0,2097042.0,2026050040.0,QN0151,urn:agentwin:city:ev-charging-station:646fdf37037fa1cf4d120c15527c8fb792d4403dbfa1eb1bfd131f5ed0b4e683,POINT (-73.884374 40.790976)
84,DOC,"DOC - 09-09 Hazen Street, Queens",['Level 2 Charger'],2,09-09 Hazen Street,The Bronx,11370,Queens,No,No,40.794577,-73.884162,401.0,22.0,1.0,2096863.0,2026050040.0,QN0151,urn:agentwin:city:ev-charging-station:0dc53a3cffdc0015af6c1bb6af6cfc5253c1e44c61218fe0cf85e7ccfa426b9d,POINT (-73.884162 40.794577)
85,DOC,"DOC - 16-00 Hazen Street, Bronx",['Level 2 Charger'],2,16-00 Hazen Street,The Bronx,11370,Bronx,No,No,40.790312,-73.884412,401.0,22.0,1.0,2109474.0,2026050040.0,QN0151,urn:agentwin:city:ev-charging-station:1d7e967f4c2f8929834240aa960b3b1e4bb0858d0be099be8bbf930414d1a0e4,POINT (-73.884412 40.790312)
86,DOC,"DOC - 125-01 82Nd Ave, Queens",['Level 2 Charger'],2,125-01 82Nd Ave,Kew Gardens,11415,Queens,No,No,40.710935,-73.831627,409.0,29.0,775.0,4079703.0,4033370047.0,QN0901,urn:agentwin:city:ev-charging-station:2a607df4ad81eb6b58ec1f7297f4308ffc793f5ac73344037a6ca1588efc64a2,POINT (-73.831627 40.710935)
87,DOC,"DOC - 19-19 Hazen St, Queens",['Level 2 Charger'],2,19-19 Hazen St,New York,11370,Queens,No,No,40.788432,-73.884444,401.0,22.0,1.0,2109477.0,2026050040.0,QN0151,urn:agentwin:city:ev-charging-station:2359a32c01d172a0d5822fcf36a24739bb89b15dbd99b7220d7f75578c10600b,POINT (-73.884444 40.788432)
88,DOC,"DOC - 1 Halleck Street, Bronx",['EV Solar Arc Charger'],1,1 Halleck Street,Bronx,10474,Bronx,No,No,40.802228,-73.877557,202.0,17.0,9302.0,2128421.0,2027800073.0,BX0201,urn:agentwin:city:ev-charging-station:3ff70c0a2dd9287a61dd060f5b2aebd0d5ed0377ac277177dba3ec383fc7b13e,POINT (-73.877557 40.802228)
89,DOE,"DOE - 165-65 84Th Ave, Queens",['Level 2 Charger'],2,165-65 84Th Ave,Queens,11432,Queens,No,No,40.715389,-73.800369,408.0,24.0,452.0,4211027.0,4098670002.0,QN0805,urn:agentwin:city:ev-charging-station:9db5d36b91836e9969a743dca15f6614d52375d3969c0a33a7e7440b2eb75774,POINT (-73.800369 40.715389)
90,DOE,"DOE - 6581 Hylan Blvd, Staten Island",['Level 2 Charger'],5,6581 Hylan Blvd,Staten Island,10309,Staten Island,No,No,40.509084,-74.22093,503.0,51.0,198.0,5000000.0,5076640001.0,SI0304,urn:agentwin:city:ev-charging-station:4bd57953a0499795333acdf2ddc3aa1891e2d23cda036f42e913f75171c523cc,POINT (-74.22093 40.509084)
91,DOE,"DOE - 131 Livingston St, Brooklyn",['Level 2 Charger'],3,131 Livingston St,Downtown Brooklyn,11201,Brooklyn,No,No,40.690743,-73.988605,302.0,33.0,37.0,3000420.0,3001540001.0,BK0202,urn:agentwin:city:ev-charging-station:2a99b9bdf696666cf923720b3fd0288892f2fab9e13da7fa64e43f3837bfe59e,POINT (-73.988605 40.690743)
92,DOE,"DOE - 9517 Kings Hwy, Brooklyn",['Level 2 Charger'],1,9517 Kings Hwy,Brooklyn,11212,Brooklyn,No,No,40.65911,-73.920368,317.0,41.0,886.0,3101218.0,3046500015.0,BK1704,urn:agentwin:city:ev-charging-station:d07de2d85ef1300ffb19e9b9713c9e86061f36d1ce3740fd1f8143d7cd50bff2,POINT (-73.920368 40.65911)
93,DOE,"DOE - 715 Ocean Terrace, Staten Island",['Level 2 Charger'],2,715 Ocean Terrace,Staten Island,10301,Staten Island,No,No,40.608756,-74.102344,502.0,50.0,17701.0,5113169.0,5006830001.0,SI0203,urn:agentwin:city:ev-charging-station:8516367354edc30c59279b1aa8a512fb33230181fbb399386601fce461ce480f,POINT (-74.102344 40.608756)
94,DOE,"DOE - 1700 Fulton St, Brooklyn",['Level 2 Charger'],1,1700 Fulton St,Brooklyn,11213,Brooklyn,No,No,40.67944,-73.932407,303.0,36.0,271.0,3047996.0,3017010001.0,BK0302,urn:agentwin:city:ev-charging-station:547a49be23413df44961d51ae8254664585d28d32545cabfbe8c654d122e0b65,POINT (-73.932407 40.67944)
95,DOE,"DOE - 3047 Bruckner Blvd, Bronx",['Level 2 Charger'],2,3047 Bruckner Blvd,Bronx,10461,Bronx,No,No,40.83587,-73.825774,210.0,13.0,184.0,2129669.0,2053130092.0,BX1002,urn:agentwin:city:ev-charging-station:71fd60f4e19fdbe073b57921bdfb6443f696231057d6d9e69aab68e20d06f3f7,POINT (-73.825774 40.83587)
96,DOE,"DOE - 71 W 205th St, Bronx",['Level 2 Charger'],1,71 W 205th St,The Bronx,10468,Bronx,No,No,40.877537,-73.890921,207.0,11.0,409.0,2130657.0,2032510201.0,BX0702,urn:agentwin:city:ev-charging-station:6efd410728d1dbf4ddc87c4e83304dfb3a5d661e444197b4747fc1b99605595e,POINT (-73.890921 40.877537)
97,DOE,"DOE - 231 Malta St, Brooklyn",['Level 2 Charger'],2,231 Malta St,East New York,11207,Brooklyn,No,No,40.655179,-73.892416,305.0,42.0,1104.0,3097770.0,3043650012.0,BK0503,urn:agentwin:city:ev-charging-station:174a7f96ae6517277420244b2740df547b8611de3a86baa64e38df55fe4b3da1,POINT (-73.892416 40.655179)
98,DOE,"DOE - 6565 Flatlands Ave, Brooklyn",['Level 2 Charger'],4,6565 Flatlands Ave,Brooklyn,11236,Brooklyn,No,No,40.633285,-73.916735,318.0,46.0,950.0,3224139.0,3079980005.0,BK1803,urn:agentwin:city:ev-charging-station:d2262b983efad47c5dde0a4de25e7ad3a18c6c157283d0cb81b5aef9a03fbc8b,POINT (-73.916735 40.633285)
99,DOE,"DOE - 128 Waterbury St, Brooklyn",['Level 2 Charger'],2,128 Waterbury St,Brooklyn,11206,Brooklyn,No,No,40.711722,-73.937926,301.0,34.0,485.0,3325747.0,3030210001.0,BK0104,urn:agentwin:city:ev-charging-station:b097086c61748a9a7a4306151e1e986b616cb1a8f6f986a70dc61dcf43a9da93,POINT (-73.937926 40.711722)
100,DOE,"DOE - 3000 E Tremont Ave, Bronx",['Level 2 Charger'],1,3000 E Tremont Ave,The Bronx,10462,Bronx,No,No,40.840733,-73.838685,210.0,13.0,194.0,2074045.0,2053680001.0,BX1002,urn:agentwin:city:ev-charging-station:9d67de61b676433a11a4af54d06575d529af270f387602d7f37d79c6c92abfbb,POINT (-73.838685 40.840733)
101,DOE,"DOE - 101-01 Rockaway Blvd, Queens",['Level 2 Charger'],4,101-01 Rockaway Blvd,Queens,11417,Queens,No,No,40.679639,-73.837298,410.0,28.0,864.0,4202849.0,4095400002.0,QN1001,urn:agentwin:city:ev-charging-station:7d97b11d999406e9904fb0434c8ccee497fffbc42e10aa33cba38f3f3f4d1b52,POINT (-73.837298 40.679639)
102,DOE,"DOE - 99 Terrace View Avenue, Manhattan",['Level 2 Charger'],4,99 Terrace View Avenue,New York,10463,Manhattan,No,No,40.877105,-73.912256,208.0,10.0,309.0,1064532.0,1022150080.0,BX0802,urn:agentwin:city:ev-charging-station:4ef128f264d772107113aca0fa971898a52b2f48bde0f37ee8e8c033df0bfb4c,POINT (-73.912256 40.877105)
103,DOE,"DOE - 1-49 Teunissen Pl, Bronx",['EV Solar Arc Charger'],1,1-49 Teunissen Pl,Bronx,10463,Bronx,No,No,40.876606,-73.912839,208.0,10.0,309.0,,,BX0802,urn:agentwin:city:ev-charging-station:0b50e703f4608e6d60222f5fbce956200b404fd40297a50a04162d8835abab9b,POINT (-73.912839 40.876606)
104,DOE,"DOE - 50 Bedford Ave, Brooklyn",['Level 2 Charger'],1,50 Bedford Ave,Brooklyn,11222,Brooklyn,No,No,40.721981,-73.953281,301.0,33.0,517.0,3066698.0,3026700001.0,BK0102,urn:agentwin:city:ev-charging-station:5196b7d3dbfc87f65b59af2900c09d0884396e35ddd02d3cde3985225aae3da8,POINT (-73.953281 40.721981)
105,DOE,"DOE - 409 Red Hook Lane, Brooklyn",['Level 3 Fast Charger'],1,409 Red Hook Lane,Brooklyn,11201,Brooklyn,No,No,40.691561,-73.988436,302.0,33.0,37.0,3000420.0,3001540001.0,BK0202,urn:agentwin:city:ev-charging-station:e797725421eabeb4e4ce179068121f8c44396393b5953fc245b40b7fb376c951,POINT (-73.988436 40.691561)
106,DOE,"DOE - 1599 E 22nd St, Brooklyn",['Level 2 Charger'],1,1599 E 22nd St,Brooklyn,11210,Brooklyn,No,No,40.612623,-73.951906,314.0,48.0,546.0,3182169.0,3067690018.0,BK1403,urn:agentwin:city:ev-charging-station:e800bb03a11ad7e8cf12f32a8c217056093bfc7152f9f75d895b9d34dd8f485c,POINT (-73.951906 40.612623)
107,DOE,"DOE - 344-360 2nd Ave, Manhattan",['Level 2 Charger'],2,344-360 2nd Ave,New York,10010,Manhattan,No,No,40.736103,-73.982196,106.0,2.0,64.0,1081671.0,1009260001.0,MN0602,urn:agentwin:city:ev-charging-station:866df64fc04b614eb15175fccbd4ce5e6f085fa1f78a84861fea825ee4f3d8e4,POINT (-73.982196 40.736103)
108,DOE,"DOE - 549 Audubon Ave, Manhattan",['Level 2 Charger'],1,549 Audubon Ave,New York,10040,Manhattan,No,No,40.855855,-73.92712,112.0,10.0,277.0,1076751.0,1021600018.0,MN1202,urn:agentwin:city:ev-charging-station:6e4817c64f86b6a4477f9b753d2d8ef96d134ba06a53577ceeecef95a48d3055,POINT (-73.92712 40.855855)
109,DOE,"DOE - 321 E 96Th St, Manhattan",['Level 2 Charger'],1,321 E 96Th St,New York,10128,Manhattan,No,No,40.783638,-73.945626,111.0,8.0,15602.0,1083927.0,1016680001.0,MN1101,urn:agentwin:city:ev-charging-station:c4a151495b52bcb626fad2c2f8620eb4a7e3e2fcf65f4164807c1149de979d94,POINT (-73.945626 40.783638)
110,DOE,"DOE - 1220 Manor Rd, Staten Island",['Level 2 Charger'],2,1220 Manor Rd,Staten Island,10314,Staten Island,No,No,40.596745,-74.124263,502.0,50.0,181.0,5164530.0,5009550100.0,SI0203,urn:agentwin:city:ev-charging-station:f798f5a708c91c9e335a5e334ef25d088567b879f27c137e8aadfa088d2ff4d7,POINT (-74.124263 40.596745)
111,DOE,"DOE - 173 West 151st Street, Manhattan",['Level 2 Charger'],2,173 West 151st Street,New York,10039,Manhattan,No,No,40.825191,-73.935731,110.0,9.0,236.0,1060197.0,1020160060.0,MN1002,urn:agentwin:city:ev-charging-station:c8543864854b26f8610cf5efb2548581359c32ef9ad4dd94c3f86ce70fbe90ea,POINT (-73.935731 40.825191)
112,DOE,"DOE - 2401 Neptune Ave, Brooklyn",['Level 2 Charger'],3,2401 Neptune Ave,Brooklyn,11224,Brooklyn,No,No,40.578188,-73.99203,313.0,47.0,330.0,3188221.0,3069650140.0,BK1302,urn:agentwin:city:ev-charging-station:84dfdd8321440d1d42652dbfa37cba7f6cb0cd2d7dadb7b5b4a785049fe6ac97,POINT (-73.99203 40.578188)
113,DOE,"DOE - 677 East 141st Street, Bronx",['Level 2 Charger'],2,677 East 141st Street,Bronx,10454,Bronx,No,No,40.807335,-73.912731,201.0,8.0,33.0,2003834.0,2025710001.0,BX0101,urn:agentwin:city:ev-charging-station:f18b54cd5f119504e99658ab1e38c4f2c7256e9798c47d06ef7c14203a218f93,POINT (-73.912731 40.807335)
114,DOE,"DOE - 142-10 Linden Blvd, Queens",['Level 2 Charger'],2,142-10 Linden Blvd,Queens,11436,Queens,No,No,40.684142,-73.801479,412.0,28.0,192.0,4259200.0,4119720070.0,QN1203,urn:agentwin:city:ev-charging-station:8e5d110aa20532d3b72f7f513f52091483bc8daede11f747a8b7f8f7cc4cf066,POINT (-73.801479 40.684142)
115,DOE,"DOE - 58-20 Utopia Pkwy, Queens",['Level 2 Charger'],2,58-20 Utopia Pkwy,Queens,11365,Queens,No,No,40.740724,-73.79283,411.0,20.0,1417.0,4148763.0,4068820001.0,QN1101,urn:agentwin:city:ev-charging-station:59a7dffb36b2b22eceb9be04ac446f376d9a2386dbc3d5b0c67dac0babeff50b,POINT (-73.79283 40.740724)
116,DOE,"DOE - 74-20 Commonwealth Blvd, Queens",['Level 2 Charger'],2,74-20 Commonwealth Blvd,Queens,11426,Queens,No,No,40.746088,-73.727535,413.0,23.0,1567.0,4529899.0,4078700072.0,QN1302,urn:agentwin:city:ev-charging-station:e7b581bbda8871ea53406d3f7d5c468ff58b73a97aa0baa527240c86b836be77,POINT (-73.727535 40.746088)
117,DOE,"DOE - 44-36 Vernon Blvd, Queens","['Level 2 Charger', 'Level 3 Fast Charger']",16,44-36 Vernon Blvd,Long Island City,11101,Queens,No,No,40.749384,-73.952233,402.0,26.0,103.0,4005429.0,4004890001.0,QN0201,urn:agentwin:city:ev-charging-station:3f06dba2c3aab49c04829d56df8f1b47e3e7efa1a59ccbd7902d40049801d462,POINT (-73.952233 40.749384)
118,DOE,"DOE - 49-16 Vernon Blvd, Queens",['Level 2 Charger'],6,49-16 Vernon Blvd,Queens,11101,Queens,No,No,40.743237,-73.953941,402.0,26.0,701.0,4000124.0,4000320003.0,QN0201,urn:agentwin:city:ev-charging-station:2e3e98ec601de1edaef5d44d5f4b725f957ff8cae22cbae08f5902bcbce5be27,POINT (-73.953941 40.743237)
119,DOE,"DOE - 30-48 Linden Pl, Queens",['Level 2 Charger'],2,30-48 Linden Pl,Flushing,11354,Queens,No,No,40.770185,-73.832925,407.0,20.0,869.0,4100749.0,4043700050.0,QN0707,urn:agentwin:city:ev-charging-station:354768e795f722b3bb871db250d63138cfbce2d5c53fb58402b4527a2ecfb0ab,POINT (-73.832925 40.770185)
120,DOE,"DOE - 333 Midland Ave, Staten Island",['Level 2 Charger'],1,333 Midland Ave,Staten Island,10306,Staten Island,No,No,40.576725,-74.100726,502.0,50.0,11203.0,5053571.0,5036960100.0,SI0202,urn:agentwin:city:ev-charging-station:91c71c371c6de00c1ca7a69dd8b0846cd4908ded10bd081dcf3bb0c02b34a400,POINT (-74.100726 40.576725)
121,DOE,"DOE - 173 Conover St, Brooklyn",['Level 2 Charger'],1,173 Conover St,Brooklyn,11231,Brooklyn,No,No,40.677969,-74.014363,306.0,38.0,5301.0,3398190.0,3005750003.0,BK0601,urn:agentwin:city:ev-charging-station:c29055393359a5bf420ba2c96ee788e996fd1788be39d0f168b0432e4f11c160,POINT (-74.014363 40.677969)
122,DOE,"DOE - 143-10 Springfield Blvd, Queens",['Level 2 Charger'],2,143-10 Springfield Blvd,Queens,11413,Queens,No,No,40.668235,-73.756839,412.0,31.0,330.0,4280845.0,4130570056.0,QN1204,urn:agentwin:city:ev-charging-station:6504f9df15ba2becc7ca5b184436eedf32f0674cc341d00ca0553b9c4ca79b07,POINT (-73.756839 40.668235)
123,DOE,"DOE - 85 St Josephs Ave, Staten Island",['Level 2 Charger'],1,85 St Josephs Ave,Staten Island,10302,Staten Island,No,No,40.634573,-74.141818,501.0,49.0,213.0,5026076.0,5011210001.0,SI0106,urn:agentwin:city:ev-charging-station:de113dc40952248b6498a6e3d70640d51afcf2bc917cf4b4beba25a3f4fae980,POINT (-74.141818 40.634573)
124,DOE,"DOE - 1434 Longfellow Avenue, Bronx",['Level 2 Charger'],2,1434 Longfellow Avenue,Bronx,10459,Bronx,No,No,40.830589,-73.887587,203.0,17.0,123.0,2010910.0,2030070008.0,BX0303,urn:agentwin:city:ev-charging-station:76236ba9c41868c327ea593102395a6d769a2a7a29a1d2d245be85522818018f,POINT (-73.887587 40.830589)
125,DOE,"DOE - 75 W 205th St, Bronx",['Level 2 Charger'],2,75 W 205th St,Bronx,10468,Bronx,No,No,40.87759,-73.89104,207.0,11.0,409.0,2094706.0,2032510201.0,BX0702,urn:agentwin:city:ev-charging-station:559c0b33446f32fbf25a7122d3b12392d44e96166b5d7648726fe6206f7daae5,POINT (-73.89104 40.87759)
126,DOE,"DOE - 1230 Zerega Ave, Bronx",['Level 2 Charger'],3,1230 Zerega Ave,The Bronx,10462,Bronx,No,No,40.833586,-73.845099,209.0,18.0,96.0,2027195.0,2038420002.0,BX1001,urn:agentwin:city:ev-charging-station:ccf23ed952acfe7a578ad5851845743cba923a621ca9e47bbcc47cc189bd1c8b,POINT (-73.845099 40.833586)
127,DOE,"DOE - 525 West 50Th St, Manhattan",['Level 2 Charger'],2,525 West 50Th St,New York,10019,Manhattan,No,No,40.765234,-73.993076,104.0,3.0,13501.0,1083802.0,1010790029.0,MN0402,urn:agentwin:city:ev-charging-station:9ae338e0b3683944cf7a9b023efab2b967b7d7bbd73cd2a4e72239dada7111bb,POINT (-73.993076 40.765234)
128,DOE,"DOE - 5-40 44Th Dr, Queens",['Level 2 Charger'],1,5-40 44Th Dr,Long Island City,11101,Queens,No,No,40.749341,-73.954023,402.0,26.0,103.0,4518727.0,4000240007.0,QN0201,urn:agentwin:city:ev-charging-station:2304d88b5da5690378c5c660cb0a81bdf82a0af99ad168bfd0845ad08df53216,POINT (-73.954023 40.749341)
129,DOE,"DOE - 49-44 Vernon Blvd, Queens",['Level 2 Charger'],1,49-44 Vernon Blvd,Queens,11101,Queens,No,No,40.743099,-73.953992,402.0,26.0,701.0,,,QN0201,urn:agentwin:city:ev-charging-station:c656dde0ef677f34122b6c376b201f6dca4742aecd057537d077891130a2d7e0,POINT (-73.953992 40.743099)
130,DOF,"DOF - 375 Pearl St, Manhattan","['Level 2 Charger', 'Level 3 Fast Charger']",4,375 Pearl St,Manhattan,10038,Manhattan,No,No,40.710207,-74.001125,101.0,1.0,2901.0,1001389.0,1001137501.0,MN0102,urn:agentwin:city:ev-charging-station:13042d1ad5bc76381dbbf340ab17bdae6391520cda37c2203dd302544a7da586,POINT (-74.001125 40.710207)
131,DOF,"DOF - 31-46 Greenpoint Ave, Queens",['Level 2 Charger'],2,31-46 Greenpoint Ave,Queens,11101,Queens,No,No,40.734714,-73.93697,402.0,26.0,19901.0,4003713.0,4003110023.0,QN0202,urn:agentwin:city:ev-charging-station:d1088ffe2d8547f4be7227c9cf1c2ab76df7e190c3416205125ffd6207937c9e,POINT (-73.93697 40.734714)
132,DOF,"DOF - 31-32 Greenpoint Ave, Queens",['Level 2 Charger'],2,31-32 Greenpoint Ave,Queens,11101,Queens,No,No,40.73466,-73.93711,402.0,26.0,19901.0,4003709.0,4003110018.0,QN0202,urn:agentwin:city:ev-charging-station:da5eebb0193ee59cd976d550eb5abe7159d46145dee2272f5b89a15c244b60a8,POINT (-73.93711 40.73466)
133,DOF,"DOF - 3010 Starr Ave, Queens",['Level 3 Fast Charger'],2,3010 Starr Ave,Long Island City,11101,Queens,No,No,40.737775,-73.938082,402.0,26.0,19902.0,4307187.0,4002950045.0,QN0202,urn:agentwin:city:ev-charging-station:29668e289a44e25db48f941c1d711a19704d73394833f8f67d21dfca81848bd9,POINT (-73.938082 40.737775)
134,DOH,"DOH - 5617 56Th Dr, Queens",['Level 2 Charger'],2,5617 56Th Dr,Queens,11378,Queens,No,No,40.72441,-73.914492,402.0,26.0,219.0,4058946.0,4025850002.0,QN0501,urn:agentwin:city:ev-charging-station:0bd877d938132caaeedf092317e11d93e9a994c8904cd0065eebd0d4e0ad8fea,POINT (-73.914492 40.72441)
135,DOH,"DOH - 515 Putnam Ave, Brooklyn",['EV Solar Arc Charger'],1,515 Putnam Ave,Bedford-Stuyvesant,11221,Brooklyn,No,No,40.685146,-73.940431,303.0,36.0,277.0,3051831.0,3018260070.0,BK0302,urn:agentwin:city:ev-charging-station:a58562a453b42847afee15053d629f4d3e67b19a375dbf946c997c02d65cbf39,POINT (-73.940431 40.685146)
136,DOT,"DOT - 300 West 206th Street, Manhattan","['Level 2 Charger', 'Level 3 Fast Charger']",5,300 West 206th Street,New York,10034,Manhattan,No,No,40.862564,-73.916487,112.0,10.0,299.0,1081892.0,1021860009.0,MN1203,urn:agentwin:city:ev-charging-station:9b2dab08c6d50db7a9ce72582821e2b66d1c2931f47e882292ada3d111248ed2,POINT (-73.916487 40.862564)
137,DOT,"DOT - 41-54 22Nd St, Queens",['Level 2 Charger'],6,41-54 22Nd St,Queens,11101,Queens,No,No,40.752701,-73.942118,401.0,26.0,3301.0,4542032.0,4004110010.0,QN0105,urn:agentwin:city:ev-charging-station:67056b18ea9e88de6af4c8f613718cd00adf7e15cd0e9e6e6b75d3cebb779ae8,POINT (-73.942118 40.752701)
138,DOT,"DOT - 9 29Th St, Brooklyn",['EV Solar Arc Charger'],1,9 29Th St,Greenwood,11232,Brooklyn,No,No,40.661018,-74.004859,307.0,38.0,1802.0,3000000.0,3006620001.0,BK0702,urn:agentwin:city:ev-charging-station:fcf4764e5c551dc921ef3d0a979c79a1c532c35c5eff2020835d6de1a644ff99,POINT (-74.004859 40.661018)
