,id,name,power,operator,substation,voltage,frequency,geometry,substation_id,location_id,coordinate_system_id,position_point_id
87,383102699,Goethals Substation,substation,Consolidated Edison,distribution,345000;230000,60,POINT (-74.1963740802758 40.6171293),urn:agentwin:energy:substation:osm:383102699,urn:agentwin:energy:location:osm:383102699,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383102699
88,383102704,Academy Substation,substation,Consolidated Edison,transmission,345000;138000,60,POINT (-73.9191423431308 40.86002015),urn:agentwin:energy:substation:osm:383102704,urn:agentwin:energy:location:osm:383102704,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383102704
89,383102707,Cherry Street Substation,substation,Consolidated Edison,distribution,69000;13200,60,POINT (-73.99069024913169 40.711364450000005),urn:agentwin:energy:substation:osm:383102707,urn:agentwin:energy:location:osm:383102707,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383102707
90,383102712,Fox Hill Substation,substation,Consolidated Edison,transmission,138000;33000,60,POINT (-74.07775022467416 40.61011675),urn:agentwin:energy:substation:osm:383102712,urn:agentwin:energy:location:osm:383102712,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383102712
91,383102717,Fresh Kills Substation,substation,Consolidated Edison,transmission,345000;138000;33000;13000,60,POINT (-74.1967407628382 40.589293049999995),urn:agentwin:energy:substation:osm:383102717,urn:agentwin:energy:location:osm:383102717,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383102717
92,383102723,Gowanus Substation,substation,Consolidated Edison,transmission,345000;138000,60,POINT (-74.00238068607814 40.66201925),urn:agentwin:energy:substation:osm:383102723,urn:agentwin:energy:location:osm:383102723,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383102723
93,383102724,Hudson Avenue Substation,substation,Consolidated Edison,distribution,138000,60,POINT (-73.98182016978518 40.7039334),urn:agentwin:energy:substation:osm:383102724,urn:agentwin:energy:location:osm:383102724,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383102724
94,383102725,Tremont Substation,substation,Consolidated Edison,transmission,345000;138000,60,POINT (-73.86379431515718 40.8425131),urn:agentwin:energy:substation:osm:383102725,urn:agentwin:energy:location:osm:383102725,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383102725
95,383110525,Bruckner Substation,substation,Consolidated Edison,distribution,138000;13200,60,POINT (-73.91121475 40.79923725),urn:agentwin:energy:substation:osm:383110525,urn:agentwin:energy:location:osm:383110525,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383110525
96,383110528,Corona Substation,substation,Consolidated Edison,distribution,138000;27000,60,POINT (-73.86217305813491 40.7401262),urn:agentwin:energy:substation:osm:383110528,urn:agentwin:energy:location:osm:383110528,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383110528
97,383110529,Farragut Substation,substation,Consolidated Edison,transmission,345000;138000,60,POINT (-73.9826767 40.7042829),urn:agentwin:energy:substation:osm:383110529,urn:agentwin:energy:location:osm:383110529,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383110529
98,383110530,Farragut Substation,substation,Consolidated Edison,transmission,345000;138000,60,POINT (-73.9844845 40.7041437),urn:agentwin:energy:substation:osm:383110530,urn:agentwin:energy:location:osm:383110530,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383110530
99,383110533,Hell Gate Substation,substation,Consolidated Edison,distribution,138000;13200,60,POINT (-73.90991052228765 40.7991579),urn:agentwin:energy:substation:osm:383110533,urn:agentwin:energy:location:osm:383110533,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383110533
100,383110539,Plymouth Substation,substation,Consolidated Edison,distribution,138000;27000,60,POINT (-73.98344012003258 40.7038661),urn:agentwin:energy:substation:osm:383110539,urn:agentwin:energy:location:osm:383110539,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383110539
101,383541577,Floral Park Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.7069517883217 40.7373379),urn:agentwin:energy:substation:osm:383541577,urn:agentwin:energy:location:osm:383541577,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383541577
102,383541578,Flushing Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.836106452227 40.76430795),urn:agentwin:energy:substation:osm:383541578,urn:agentwin:energy:location:osm:383541578,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383541578
103,383541579,Glen Oaks Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.71714669186933 40.74376425),urn:agentwin:energy:substation:osm:383541579,urn:agentwin:energy:location:osm:383541579,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383541579
104,383541580,Hillcrest Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.80440521497285 40.724261),urn:agentwin:energy:substation:osm:383541580,urn:agentwin:energy:location:osm:383541580,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383541580
106,383541582,Howard Beach Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.84001465997942 40.662860550000005),urn:agentwin:energy:substation:osm:383541582,urn:agentwin:energy:location:osm:383541582,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383541582
107,383575264,146th Avenue Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.75465746265306 40.659955350000004),urn:agentwin:energy:substation:osm:383575264,urn:agentwin:energy:location:osm:383575264,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575264
108,383575265,151st Avenue Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.85505540446063 40.66686025),urn:agentwin:energy:substation:osm:383575265,urn:agentwin:energy:location:osm:383575265,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575265
109,383575266,160th Avenue Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.84759840000001 40.6565902),urn:agentwin:energy:substation:osm:383575266,urn:agentwin:energy:location:osm:383575266,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575266
110,383575267,253rd Place Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.73522804999999 40.65670495),urn:agentwin:energy:substation:osm:383575267,urn:agentwin:energy:location:osm:383575267,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575267
111,383575268,Alley Park Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.7614847 40.7437233),urn:agentwin:energy:substation:osm:383575268,urn:agentwin:energy:location:osm:383575268,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383575268
